Date,AORD
1988-08-17,1608.099976
1988-08-18,1631.099976
1988-08-19,1640.599976
1988-08-22,1643.099976
1988-08-23,1629.5
1988-08-24,1632.400024
1988-08-25,1636.199951
1988-08-26,1595.599976
1988-08-29,1569
1988-08-30,1580.5
1988-08-31,1570.5
1988-09-01,1541.400024
1988-09-02,1546.199951
1988-09-05,1571.900024
1988-09-06,1567.199951
1988-09-07,1559.800049
1988-09-08,1555.5
1988-09-09,1545.5
1988-09-12,1517.199951
1988-09-13,1530.599976
1988-09-14,1549.400024
1988-09-15,1567.900024
1988-09-16,1559.900024
1988-09-19,1539.5
1988-09-20,1546.699951
1988-09-21,1543.599976
1988-09-22,1541.699951
1988-09-23,1551.099976
1988-09-26,1543.300049
1988-09-27,1545
1988-09-28,1546.199951
1988-09-29,1541.900024
1988-09-30,1551.599976
1988-10-04,1523.599976
1988-10-05,1511.900024
1988-10-06,1516.300049
1988-10-07,1525.900024
1988-10-10,1534.599976
1988-10-11,1543.5
1988-10-12,1544.400024
1988-10-13,1540.800049
1988-10-14,1551.599976
1988-10-17,1566.900024
1988-10-18,1571.699951
1988-10-19,1579.400024
1988-10-20,1591.099976
1988-10-21,1595.300049
1988-10-24,1587.400024
1988-10-25,1580.599976
1988-10-26,1582.099976
1988-10-27,1583.599976
1988-10-28,1581.5
1988-10-31,1587
1988-11-01,1584.900024
1988-11-02,1580
1988-11-03,1571.800049
1988-11-04,1570.400024
1988-11-07,1557.400024
1988-11-08,1562.699951
1988-11-09,1564.400024
1988-11-10,1564.099976
1988-11-11,1558.199951
1988-11-14,1526.900024
1988-11-15,1522.599976
1988-11-16,1522.300049
1988-11-17,1494.900024
1988-11-18,1493.300049
1988-11-21,1483
1988-11-22,1478.400024
1988-11-23,1490.699951
1988-11-24,1498.900024
1988-11-25,1506
1988-11-28,1480.099976
1988-11-29,1472
1988-11-30,1471.5
1988-12-01,1456.5
1988-12-02,1451
1988-12-05,1447.199951
1988-12-06,1459.300049
1988-12-07,1471.5
1988-12-08,1475.699951
1988-12-09,1471
1988-12-12,1469.400024
1988-12-13,1457.5
1988-12-14,1457.699951
1988-12-15,1463.300049
1988-12-16,1447.300049
1988-12-19,1451.599976
1988-12-20,1462.099976
1988-12-21,1480
1988-12-22,1484.400024
1988-12-23,1484.099976
1988-12-28,1486.400024
1988-12-29,1486.400024
1988-12-30,1487.400024
1989-01-03,1480.800049
1989-01-04,1470.400024
1989-01-05,1473.699951
1989-01-06,1478.300049
1989-01-09,1489.300049
1989-01-10,1501.800049
1989-01-11,1499.400024
1989-01-12,1507.800049
1989-01-13,1517.900024
1989-01-16,1512
1989-01-17,1501.900024
1989-01-18,1502.400024
1989-01-19,1512
1989-01-20,1517.900024
1989-01-23,1523.199951
1989-01-24,1525.300049
1989-01-25,1536.5
1989-01-26,1539.400024
1989-01-27,1542.599976
1989-01-30,1542.199951
1989-01-31,1551.5
1989-02-01,1531.300049
1989-02-02,1510.5
1989-02-03,1511.699951
